Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating;verificador
382-03-4532;A;Yangon;Socio;Femenino;Salud y belleza;18.33;1;0.9165;19.2465;02/02/2019;18:50;Efectivo;18.33;4.761904762;0.9165;4.3;True
393-65-2792;C;Naypyitaw;Normal;Masculino;Alimentos y bebidas;89.48;10;44.74;939.54;06/01/2019;12:46;Tarjeta de Crédito;894.8;4.761904762;44.74;9.6;True
796-12-2025;C;Naypyitaw;Normal;Masculino;Complementos de moda;62.12;10;31.06;652.26;11/02/2019;16:19;Efectivo;621.2;4.761904762;31.06;5.9;True
510-95-6347;B;Mandalay;Socio;Femenino;Alimentos y bebidas;48.52;3;7.278;152.838;05/03/2019;18:17;Billetera Electrónica;145.56;4.761904762;7.278;4.0;True
841-35-6630;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;75.91;6;22.773000000000003;478.233;09/03/2019;18:21;Efectivo;455.46;4.761904762;22.773000000000003;8.7;True
287-21-9091;A;Yangon;Normal;Masculino;Hogar y estilo de vida;74.67;9;33.6015;705.6315;22/01/2019;10:55;Billetera Electrónica;672.03;4.761904762;33.6015;9.4;True
732-94-0499;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;41.65;10;20.825;437.325;13/01/2019;17:04;Tarjeta de Crédito;416.5;4.761904762;20.825;5.4;True
263-10-3913;C;Naypyitaw;Socio;Masculino;Complementos de moda;49.04;9;22.068;463.42800000000005;09/01/2019;14:20;Tarjeta de Crédito;441.36;4.761904762;22.068;8.6;True
381-20-0914;A;Yangon;Socio;Femenino;Complementos de moda;20.01;9;9.0045;189.0945;12/01/2019;15:48;Tarjeta de Crédito;180.09;4.761904762;9.0045;5.7;True
829-49-1914;C;Naypyitaw;Socio;Femenino;Alimentos y bebidas;78.31;10;39.155;822.255;05/03/2019;16:24;Billetera Electrónica;783.1;4.761904762;39.155;6.6;True
756-01-7507;C;Naypyitaw;Normal;Femenino;Salud y belleza;20.38;5;5.095;106.995;22/01/2019;18:56;Efectivo;101.9;4.761904762;5.095;6.0;True
870-72-4431;C;Naypyitaw;Normal;Femenino;Salud y belleza;99.19;6;29.757;624.8969999999999;21/01/2019;14:42;Tarjeta de Crédito;595.14;4.761904762;29.757;5.5;True
847-38-7188;B;Mandalay;Normal;Femenino;Alimentos y bebidas;96.68;3;14.502;304.54200000000003;26/01/2019;19:56;Billetera Electrónica;290.04;4.761904762;14.502;6.4;True
480-63-2856;C;Naypyitaw;Normal;Masculino;Alimentos y bebidas;19.25;8;7.7;161.7;23/01/2019;18:37;Billetera Electrónica;154.0;4.761904762;7.7;6.6;True
787-56-0757;C;Naypyitaw;Socio;Femenino;Alimentos y bebidas;80.36;4;16.072;337.51199999999994;23/02/2019;18:45;Tarjeta de Crédito;321.44;4.761904762;16.072;8.3;True
360-39-5055;C;Naypyitaw;Socio;Masculino;Deportes y viajes;48.91;5;12.2275;256.7775;09/03/2019;10:17;Efectivo;244.55;4.761904762;12.2275;6.6;True
730-50-9884;C;Naypyitaw;Normal;Femenino;Deportes y viajes;83.06;7;29.071;610.491;05/03/2019;14:31;Billetera Electrónica;581.42;4.761904762;29.071;4.0;True
362-58-8315;C;Naypyitaw;Normal;Masculino;Complementos de moda;76.52;5;19.13;401.73;25/03/2019;10:23;Efectivo;382.6;4.761904762;19.13;9.9;True
633-44-8566;A;Yangon;Socio;Masculino;Alimentos y bebidas;49.38;7;17.283;362.943;27/03/2019;20:35;Tarjeta de Crédito;345.66;4.761904762;17.283;7.3;True
504-35-8843;A;Yangon;Normal;Masculino;Deportes y viajes;42.47;1;2.1235;44.5935;02/01/2019;16:57;Efectivo;42.47;4.761904762;2.1235;5.7;True
318-68-5053;B;Mandalay;Normal;Femenino;Salud y belleza;76.99;6;23.097;485.037;27/02/2019;17:55;Efectivo;461.94;4.761904762;23.097;6.1;True
565-80-5980;C;Naypyitaw;Socio;Femenino;Hogar y estilo de vida;47.38;4;9.476;198.996;23/01/2019;10:25;Efectivo;189.52;4.761904762;9.476;7.1;True
225-32-0908;C;Naypyitaw;Normal;Femenino;Deportes y viajes;44.86;10;22.43;471.03;26/01/2019;19:54;Billetera Electrónica;448.6;4.761904762;22.43;8.2;True
873-51-0671;A;Yangon;Socio;Femenino;Deportes y viajes;21.98;7;7.693;161.553;10/01/2019;16:42;Billetera Electrónica;153.86;4.761904762;7.693;5.1;True
152-08-9985;B;Mandalay;Socio;Masculino;Salud y belleza;64.36;9;28.962;608.202;12/03/2019;12:09;Tarjeta de Crédito;579.24;4.761904762;28.962;8.6;True
512-91-0811;C;Naypyitaw;Normal;Masculino;Salud y belleza;89.75;1;4.4875;94.2375;06/02/2019;20:05;Tarjeta de Crédito;89.75;4.761904762;4.4875;6.6;True
594-34-4444;A;Yangon;Normal;Masculino;Accesorios electrónicos;97.16;1;4.8580000000000005;102.018;08/03/2019;20:38;Billetera Electrónica;97.16;4.761904762;4.8580000000000005;7.2;True
766-85-7061;B;Mandalay;Normal;Masculino;Salud y belleza;87.87;10;43.935;922.635;29/03/2019;10:25;Billetera Electrónica;878.7;4.761904762;43.935;5.1;True
871-39-9221;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;12.45;6;3.735;78.435;09/02/2019;13:11;Efectivo;74.7;4.761904762;3.735;4.1;True
865-92-6136;A;Yangon;Normal;Masculino;Alimentos y bebidas;52.75;3;7.9125;166.1625;23/03/2019;10:16;Billetera Electrónica;158.25;4.761904762;7.9125;9.3;True
733-01-9107;B;Mandalay;Normal;Masculino;Hogar y estilo de vida;82.7;6;24.81;521.01;05/03/2019;18:14;Efectivo;496.2;4.761904762;24.81;7.4;True
163-56-7055;C;Naypyitaw;Socio;Masculino;Complementos de moda;48.71;1;2.4355;51.1455;26/03/2019;19:20;Efectivo;48.71;4.761904762;2.4355;4.1;True
189-98-2939;C;Naypyitaw;Normal;Masculino;Complementos de moda;78.55;9;35.3475;742.2975;01/03/2019;13:22;Efectivo;706.95;4.761904762;35.3475;7.2;True
551-21-3069;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;23.07;9;10.3815;218.0115;01/02/2019;11:27;Efectivo;207.63;4.761904762;10.3815;4.9;True
212-62-1842;A;Yangon;Normal;Masculino;Alimentos y bebidas;58.26;6;17.477999999999998;367.038;28/03/2019;16:44;Efectivo;349.56;4.761904762;17.477999999999998;9.9;True
716-39-1409;B;Mandalay;Normal;Masculino;Salud y belleza;30.35;7;10.6225;223.0725;19/03/2019;18:19;Efectivo;212.45;4.761904762;10.6225;8.0;True
704-48-3927;A;Yangon;Socio;Masculino;Accesorios electrónicos;88.67;10;44.335;931.035;12/01/2019;14:50;Billetera Electrónica;886.7;4.761904762;44.335;7.3;True
628-34-3388;C;Naypyitaw;Normal;Masculino;Complementos de moda;27.38;6;8.214;172.49400000000003;05/01/2019;20:54;Tarjeta de Crédito;164.28;4.761904762;8.214;7.9;True
630-74-5166;A;Yangon;Normal;Masculino;Deportes y viajes;62.13;6;18.639;391.419;22/03/2019;20:19;Efectivo;372.78;4.761904762;18.639;7.4;True
588-01-7461;C;Naypyitaw;Normal;Femenino;Alimentos y bebidas;33.98;9;15.291;321.111;24/03/2019;10:43;Efectivo;305.82;4.761904762;15.291;4.2;True
861-77-0145;C;Naypyitaw;Socio;Masculino;Accesorios electrónicos;81.97;10;40.985;860.685;03/03/2019;14:30;Efectivo;819.7;4.761904762;40.985;9.2;True
479-26-8945;B;Mandalay;Socio;Femenino;Deportes y viajes;16.49;2;1.649;34.629;05/02/2019;11:32;Billetera Electrónica;32.98;4.761904762;1.649;4.6;True
210-67-5886;C;Naypyitaw;Socio;Femenino;Salud y belleza;98.21;3;14.7315;309.3615;05/02/2019;10:41;Tarjeta de Crédito;294.63;4.761904762;14.7315;7.8;True
227-78-1148;B;Mandalay;Normal;Femenino;Complementos de moda;72.84;7;25.494;535.374;15/02/2019;12:44;Efectivo;509.88;4.761904762;25.494;8.4;True
645-44-1170;A;Yangon;Socio;Masculino;Hogar y estilo de vida;58.07;9;26.1315;548.7615;19/01/2019;20:07;Billetera Electrónica;522.63;4.761904762;26.1315;4.3;True
237-01-6122;C;Naypyitaw;Socio;Femenino;Hogar y estilo de vida;80.79;9;36.3555;763.4655;01/02/2019;20:31;Tarjeta de Crédito;727.11;4.761904762;36.3555;9.5;True
225-98-1496;C;Naypyitaw;Normal;Femenino;Complementos de moda;27.02;3;4.053;85.113;02/03/2019;13:01;Tarjeta de Crédito;81.06;4.761904762;4.053;7.1;True
291-32-1427;B;Mandalay;Socio;Masculino;Complementos de moda;21.94;5;5.485;115.185;05/03/2019;12:29;Billetera Electrónica;109.7;4.761904762;5.485;5.3;True
659-65-8956;B;Mandalay;Socio;Masculino;Complementos de moda;51.36;1;2.568;53.928;16/01/2019;15:26;Billetera Electrónica;51.36;4.761904762;2.568;5.2;True
642-32-2990;A;Yangon;Normal;Femenino;Alimentos y bebidas;10.96;10;5.48;115.08;02/02/2019;20:48;Billetera Electrónica;109.6;4.761904762;5.48;6.0;True
378-24-2715;B;Mandalay;Normal;Masculino;Hogar y estilo de vida;53.44;2;5.343999999999999;112.224;20/01/2019;20:38;Billetera Electrónica;106.88;4.761904762;5.343999999999999;4.1;True
638-60-7125;A;Yangon;Normal;Femenino;Accesorios electrónicos;99.56;8;39.824;836.304;14/02/2019;17:03;Tarjeta de Crédito;796.48;4.761904762;39.824;5.2;True
659-36-1684;C;Naypyitaw;Socio;Masculino;Deportes y viajes;57.12;7;19.992;419.832;12/01/2019;12:02;Tarjeta de Crédito;399.84;4.761904762;19.992;6.5;True
219-22-9386;B;Mandalay;Socio;Masculino;Deportes y viajes;99.96;9;44.982;944.622;09/03/2019;17:26;Tarjeta de Crédito;899.64;4.761904762;44.982;4.2;True
336-78-2147;C;Naypyitaw;Socio;Masculino;Hogar y estilo de vida;63.91;8;25.564;536.844;13/03/2019;19:52;Tarjeta de Crédito;511.28;4.761904762;25.564;4.6;True
268-27-6179;B;Mandalay;Socio;Femenino;Complementos de moda;56.47;8;22.588;474.348;09/03/2019;14:57;Billetera Electrónica;451.76;4.761904762;22.588;7.3;True
668-90-8900;A;Yangon;Normal;Femenino;Hogar y estilo de vida;93.69;7;32.7915;688.6215;10/03/2019;18:44;Tarjeta de Crédito;655.83;4.761904762;32.7915;4.5;True
870-54-3162;A;Yangon;Normal;Femenino;Deportes y viajes;32.25;5;8.0625;169.3125;27/01/2019;13:26;Efectivo;161.25;4.761904762;8.0625;9.0;True
189-08-9157;C;Naypyitaw;Normal;Femenino;Complementos de moda;31.73;9;14.2785;299.8485;08/01/2019;16:17;Tarjeta de Crédito;285.57;4.761904762;14.2785;5.9;True
663-86-9076;C;Naypyitaw;Socio;Femenino;Alimentos y bebidas;68.54;8;27.416;575.736;08/01/2019;15:57;Billetera Electrónica;548.32;4.761904762;27.416;8.5;True
549-84-7482;B;Mandalay;Normal;Femenino;Deportes y viajes;90.28;9;40.626;853.1460000000001;08/02/2019;11:15;Billetera Electrónica;812.52;4.761904762;40.626;7.2;True
191-10-6171;B;Mandalay;Normal;Femenino;Complementos de moda;39.62;7;13.867;291.207;25/01/2019;13:18;Efectivo;277.34;4.761904762;13.867;7.5;True
802-70-5316;A;Yangon;Socio;Femenino;Deportes y viajes;92.13;6;27.639;580.419;06/03/2019;20:34;Efectivo;552.78;4.761904762;27.639;8.3;True
695-51-0018;B;Mandalay;Normal;Femenino;Deportes y viajes;34.84;4;6.968;146.328;10/02/2019;18:36;Efectivo;139.36;4.761904762;6.968;7.4;True
590-83-4591;B;Mandalay;Socio;Masculino;Accesorios electrónicos;87.45;6;26.235;550.935;17/02/2019;14:40;Tarjeta de Crédito;524.7;4.761904762;26.235;8.8;True
483-71-1164;C;Naypyitaw;Normal;Femenino;Salud y belleza;81.3;6;24.39;512.19;08/03/2019;16:43;Billetera Electrónica;487.8;4.761904762;24.39;5.3;True
597-78-7908;C;Naypyitaw;Normal;Masculino;Complementos de moda;90.22;3;13.533;284.193;18/02/2019;19:39;Efectivo;270.66;4.761904762;13.533;6.2;True
700-81-1757;A;Yangon;Normal;Femenino;Accesorios electrónicos;26.31;5;6.5775;138.1275;18/01/2019;20:59;Tarjeta de Crédito;131.55;4.761904762;6.5775;8.8;True
354-39-5160;A;Yangon;Socio;Femenino;Hogar y estilo de vida;34.42;6;10.326;216.846;18/02/2019;15:39;Efectivo;206.52;4.761904762;10.326;9.8;True
241-72-9525;B;Mandalay;Normal;Masculino;Deportes y viajes;51.91;10;25.955;545.055;16/02/2019;12:21;Efectivo;519.1;4.761904762;25.955;8.2;True
575-30-8091;A;Yangon;Normal;Masculino;Deportes y viajes;72.5;8;29.0;609.0;16/03/2019;19:25;Billetera Electrónica;580.0;4.761904762;29.0;9.2;True
731-81-9469;C;Naypyitaw;Socio;Femenino;Deportes y viajes;89.8;10;44.9;942.9;23/01/2019;13:00;Tarjeta de Crédito;898.0;4.761904762;44.9;5.4;True
280-17-4359;C;Naypyitaw;Socio;Masculino;Salud y belleza;90.5;10;45.25;950.25;25/01/2019;13:48;Efectivo;905.0;4.761904762;45.25;8.1;True
338-65-2210;C;Naypyitaw;Socio;Femenino;Salud y belleza;68.6;10;34.3;720.3;05/02/2019;19:57;Efectivo;686.0;4.761904762;34.3;9.1;True
488-25-4221;C;Naypyitaw;Socio;Femenino;Alimentos y bebidas;30.41;1;1.5205;31.9305;22/02/2019;10:36;Tarjeta de Crédito;30.41;4.761904762;1.5205;8.4;True
239-10-7476;A;Yangon;Normal;Femenino;Hogar y estilo de vida;77.95;6;23.385;491.085;21/01/2019;16:37;Billetera Electrónica;467.7;4.761904762;23.385;8.0;True
458-41-1477;C;Naypyitaw;Normal;Femenino;Salud y belleza;46.26;6;13.878;291.438;08/03/2019;17:11;Tarjeta de Crédito;277.56;4.761904762;13.878;9.5;True
685-64-1609;A;Yangon;Socio;Femenino;Complementos de moda;30.14;10;15.07;316.47;10/02/2019;12:28;Billetera Electrónica;301.4;4.761904762;15.07;9.2;True
568-90-5112;C;Naypyitaw;Normal;Masculino;Salud y belleza;66.14;4;13.228;277.788;19/03/2019;12:46;Tarjeta de Crédito;264.56;4.761904762;13.228;5.6;True
262-47-2794;B;Mandalay;Socio;Masculino;Hogar y estilo de vida;71.86;8;28.744;603.624;06/03/2019;15:07;Tarjeta de Crédito;574.88;4.761904762;28.744;6.2;True
238-49-0436;A;Yangon;Normal;Masculino;Salud y belleza;32.46;8;12.984000000000002;272.664;27/03/2019;13:48;Tarjeta de Crédito;259.68;4.761904762;12.984000000000002;4.9;True
608-96-3517;B;Mandalay;Socio;Femenino;Complementos de moda;91.54;4;18.308;384.468;23/03/2019;19:20;Tarjeta de Crédito;366.16;4.761904762;18.308;4.8;True
584-86-7256;C;Naypyitaw;Socio;Masculino;Deportes y viajes;34.56;7;12.095999999999998;254.016;11/03/2019;16:07;Tarjeta de Crédito;241.92;4.761904762;12.095999999999998;7.3;True
746-94-0204;A;Yangon;Normal;Masculino;Complementos de moda;83.24;9;37.458;786.618;29/01/2019;11:56;Tarjeta de Crédito;749.16;4.761904762;37.458;7.4;True
214-17-6927;C;Naypyitaw;Normal;Femenino;Alimentos y bebidas;16.48;6;4.944;103.824;07/02/2019;18:23;Billetera Electrónica;98.88;4.761904762;4.944;9.9;True
