Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;41.65;10;20.825;437.325;1/13/2019;17:04;Credit card;416.5;4.7619047619999995;20.825;5.4
263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories;49.04;9;22.068;463.42800000000005;1/9/2019;14:20;Credit card;441.36;4.7619047619999995;22.068;8.6
381-20-0914;A;Yangon;Member;Female;Fashion accessories;20.01;9;9.0045;189.0945;1/12/2019;15:48;Credit card;180.09;4.7619047619999995;9.0045;5.7
829-49-1914;C;Naypyitaw;Member;Female;Food and beverages;78.31;10;39.155;822.255;3/5/2019;16:24;Ewallet;783.1;4.7619047619999995;39.155;6.6
756-01-7507;C;Naypyitaw;Normal;Female;Health and beauty;20.38;5;5.095;106.995;1/22/2019;18:56;Cash;101.9;4.7619047619999995;5.095;6.0
870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;99.19;6;29.756999999999998;624.8969999999999;1/21/2019;14:42;Credit card;595.14;4.7619047619999995;29.756999999999998;5.5
847-38-7188;B;Mandalay;Normal;Female;Food and beverages;96.68;3;14.502;304.54200000000003;1/26/2019;19:56;Ewallet;290.04;4.7619047619999995;14.502;6.4
480-63-2856;C;Naypyitaw;Normal;Male;Food and beverages;19.25;8;7.7;161.7;1/23/2019;18:37;Ewallet;154.0;4.7619047619999995;7.7;6.6
787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;80.36;4;16.072;337.51199999999994;2/23/2019;18:45;Credit card;321.44;4.7619047619999995;16.072;8.3
360-39-5055;C;Naypyitaw;Member;Male;Sports and travel;48.91;5;12.2275;256.7775;3/9/2019;10:17;Cash;244.55;4.7619047619999995;12.2275;6.6
730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel;83.06;7;29.070999999999998;610.491;3/5/2019;14:31;Ewallet;581.42;4.7619047619999995;29.070999999999998;4.0
362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;76.52;5;19.13;401.73;3/25/2019;10:23;Cash;382.6;4.7619047619999995;19.13;9.9
633-44-8566;A;Yangon;Member;Male;Food and beverages;49.38;7;17.283;362.94300000000004;3/27/2019;20:35;Credit card;345.66;4.7619047619999995;17.283;7.3
504-35-8843;A;Yangon;Normal;Male;Sports and travel;42.47;1;2.1235;44.5935;1/2/2019;16:57;Cash;42.47;4.7619047619999995;2.1235;5.7
318-68-5053;B;Mandalay;Normal;Female;Health and beauty;76.99;6;23.096999999999998;485.037;2/27/2019;17:55;Cash;461.94;4.7619047619999995;23.096999999999998;6.1
565-80-5980;C;Naypyitaw;Member;Female;Home and lifestyle;47.38;4;9.476;198.99599999999998;1/23/2019;10:25;Cash;189.52;4.7619047619999995;9.476;7.1
225-32-0908;C;Naypyitaw;Normal;Female;Sports and travel;44.86;10;22.43;471.03;1/26/2019;19:54;Ewallet;448.6;4.7619047619999995;22.43;8.2
873-51-0671;A;Yangon;Member;Female;Sports and travel;21.98;7;7.693;161.553;1/10/2019;16:42;Ewallet;153.86;4.7619047619999995;7.693;5.1
152-08-9985;B;Mandalay;Member;Male;Health and beauty;64.36;9;28.962;608.202;3/12/2019;12:09;Credit card;579.24;4.7619047619999995;28.962;8.6
512-91-0811;C;Naypyitaw;Normal;Male;Health and beauty;89.75;1;4.4875;94.2375;2/6/2019;20:05;Credit card;89.75;4.7619047619999995;4.4875;6.6
594-34-4444;A;Yangon;Normal;Male;Electronic accessories;97.16;1;4.8580000000000005;102.01799999999999;3/8/2019;20:38;Ewallet;97.16;4.7619047619999995;4.8580000000000005;7.2
766-85-7061;B;Mandalay;Normal;Male;Health and beauty;87.87;10;43.935;922.635;3/29/2019;10:25;Ewallet;878.7;4.7619047619999995;43.935;5.1
871-39-9221;C;Naypyitaw;Normal;Female;Electronic accessories;12.45;6;3.735;78.435;2/9/2019;13:11;Cash;74.7;4.7619047619999995;3.735;4.1
865-92-6136;A;Yangon;Normal;Male;Food and beverages;52.75;3;7.9125;166.1625;3/23/2019;10:16;Ewallet;158.25;4.7619047619999995;7.9125;9.3
733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle;82.7;6;24.81;521.01;3/5/2019;18:14;Cash;496.2;4.7619047619999995;24.81;7.4
163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;48.71;1;2.4355;51.1455;3/26/2019;19:20;Cash;48.71;4.7619047619999995;2.4355;4.1
189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;78.55;9;35.3475;742.2975;3/1/2019;13:22;Cash;706.95;4.7619047619999995;35.3475;7.2
551-21-3069;C;Naypyitaw;Normal;Female;Electronic accessories;23.07;9;10.3815;218.0115;2/1/2019;11:27;Cash;207.63;4.7619047619999995;10.3815;4.9
212-62-1842;A;Yangon;Normal;Male;Food and beverages;58.26;6;17.477999999999998;367.038;3/28/2019;16:44;Cash;349.56;4.7619047619999995;17.477999999999998;9.9
716-39-1409;B;Mandalay;Normal;Male;Health and beauty;30.35;7;10.6225;223.0725;3/19/2019;18:19;Cash;212.45;4.7619047619999995;10.6225;8.0
704-48-3927;A;Yangon;Member;Male;Electronic accessories;88.67;10;44.335;931.035;1/12/2019;14:50;Ewallet;886.7;4.7619047619999995;44.335;7.3
628-34-3388;C;Naypyitaw;Normal;Male;Fashion accessories;27.38;6;8.214;172.49400000000003;1/5/2019;20:54;Credit card;164.28;4.7619047619999995;8.214;7.9
630-74-5166;A;Yangon;Normal;Male;Sports and travel;62.13;6;18.639;391.41900000000004;3/22/2019;20:19;Cash;372.78;4.7619047619999995;18.639;7.4
588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages;33.98;9;15.290999999999999;321.111;3/24/2019;10:43;Cash;305.82;4.7619047619999995;15.290999999999999;4.2
861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories;81.97;10;40.985;860.685;3/3/2019;14:30;Cash;819.7;4.7619047619999995;40.985;9.2
479-26-8945;B;Mandalay;Member;Female;Sports and travel;16.49;2;1.649;34.629;2/5/2019;11:32;Ewallet;32.98;4.7619047619999995;1.649;4.6
210-67-5886;C;Naypyitaw;Member;Female;Health and beauty;98.21;3;14.7315;309.3615;2/5/2019;10:41;Credit card;294.63;4.7619047619999995;14.7315;7.8
227-78-1148;B;Mandalay;Normal;Female;Fashion accessories;72.84;7;25.494;535.374;2/15/2019;12:44;Cash;509.88;4.7619047619999995;25.494;8.4
645-44-1170;A;Yangon;Member;Male;Home and lifestyle;58.07;9;26.1315;548.7615;1/19/2019;20:07;Ewallet;522.63;4.7619047619999995;26.1315;4.3
237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;80.79;9;36.3555;763.4655;2/1/2019;20:31;Credit card;727.11;4.7619047619999995;36.3555;9.5
225-98-1496;C;Naypyitaw;Normal;Female;Fashion accessories;27.02;3;4.053;85.113;3/2/2019;13:01;Credit card;81.06;4.7619047619999995;4.053;7.1
291-32-1427;B;Mandalay;Member;Male;Fashion accessories;21.94;5;5.485;115.185;3/5/2019;12:29;Ewallet;109.7;4.7619047619999995;5.485;5.3
659-65-8956;B;Mandalay;Member;Male;Fashion accessories;51.36;1;2.568;53.928000000000004;1/16/2019;15:26;Ewallet;51.36;4.7619047619999995;2.568;5.2
642-32-2990;A;Yangon;Normal;Female;Food and beverages;10.96;10;5.48;115.08;2/2/2019;20:48;Ewallet;109.6;4.7619047619999995;5.48;6.0
378-24-2715;B;Mandalay;Normal;Male;Home and lifestyle;53.44;2;5.343999999999999;112.22399999999999;1/20/2019;20:38;Ewallet;106.88;4.7619047619999995;5.343999999999999;4.1
638-60-7125;A;Yangon;Normal;Female;Electronic accessories;99.56;8;39.824;836.304;2/14/2019;17:03;Credit card;796.48;4.7619047619999995;39.824;5.2
659-36-1684;C;Naypyitaw;Member;Male;Sports and travel;57.12;7;19.992;419.832;1/12/2019;12:02;Credit card;399.84;4.7619047619999995;19.992;6.5
219-22-9386;B;Mandalay;Member;Male;Sports and travel;99.96;9;44.982;944.622;3/9/2019;17:26;Credit card;899.64;4.7619047619999995;44.982;4.2
336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle;63.91;8;25.564;536.844;3/13/2019;19:52;Credit card;511.28;4.7619047619999995;25.564;4.6
268-27-6179;B;Mandalay;Member;Female;Fashion accessories;56.47;8;22.588;474.348;3/9/2019;14:57;Ewallet;451.76;4.7619047619999995;22.588;7.3
668-90-8900;A;Yangon;Normal;Female;Home and lifestyle;93.69;7;32.7915;688.6215;3/10/2019;18:44;Credit card;655.83;4.7619047619999995;32.7915;4.5
870-54-3162;A;Yangon;Normal;Female;Sports and travel;32.25;5;8.0625;169.3125;1/27/2019;13:26;Cash;161.25;4.7619047619999995;8.0625;9.0
189-08-9157;C;Naypyitaw;Normal;Female;Fashion accessories;31.73;9;14.2785;299.8485;1/8/2019;16:17;Credit card;285.57;4.7619047619999995;14.2785;5.9
663-86-9076;C;Naypyitaw;Member;Female;Food and beverages;68.54;8;27.416;575.736;1/8/2019;15:57;Ewallet;548.32;4.7619047619999995;27.416;8.5
549-84-7482;B;Mandalay;Normal;Female;Sports and travel;90.28;9;40.626;853.1460000000001;2/8/2019;11:15;Ewallet;812.52;4.7619047619999995;40.626;7.2
191-10-6171;B;Mandalay;Normal;Female;Fashion accessories;39.62;7;13.867;291.207;1/25/2019;13:18;Cash;277.34;4.7619047619999995;13.867;7.5
802-70-5316;A;Yangon;Member;Female;Sports and travel;92.13;6;27.639;580.419;3/6/2019;20:34;Cash;552.78;4.7619047619999995;27.639;8.3
695-51-0018;B;Mandalay;Normal;Female;Sports and travel;34.84;4;6.968;146.328;2/10/2019;18:36;Cash;139.36;4.7619047619999995;6.968;7.4
590-83-4591;B;Mandalay;Member;Male;Electronic accessories;87.45;6;26.235;550.935;2/17/2019;14:40;Credit card;524.7;4.7619047619999995;26.235;8.8
483-71-1164;C;Naypyitaw;Normal;Female;Health and beauty;81.3;6;24.39;512.19;3/8/2019;16:43;Ewallet;487.8;4.7619047619999995;24.39;5.3
597-78-7908;C;Naypyitaw;Normal;Male;Fashion accessories;90.22;3;13.533;284.193;2/18/2019;19:39;Cash;270.66;4.7619047619999995;13.533;6.2
700-81-1757;A;Yangon;Normal;Female;Electronic accessories;26.31;5;6.5775;138.1275;1/18/2019;20:59;Credit card;131.55;4.7619047619999995;6.5775;8.8
354-39-5160;A;Yangon;Member;Female;Home and lifestyle;34.42;6;10.325999999999999;216.84599999999998;2/18/2019;15:39;Cash;206.52;4.7619047619999995;10.325999999999999;9.8
241-72-9525;B;Mandalay;Normal;Male;Sports and travel;51.91;10;25.955;545.055;2/16/2019;12:21;Cash;519.1;4.7619047619999995;25.955;8.2
575-30-8091;A;Yangon;Normal;Male;Sports and travel;72.5;8;29.0;609.0;3/16/2019;19:25;Ewallet;580.0;4.7619047619999995;29.0;9.2
731-81-9469;C;Naypyitaw;Member;Female;Sports and travel;89.8;10;44.9;942.9;1/23/2019;13:00;Credit card;898.0;4.7619047619999995;44.9;5.4
280-17-4359;C;Naypyitaw;Member;Male;Health and beauty;90.5;10;45.25;950.25;1/25/2019;13:48;Cash;905.0;4.7619047619999995;45.25;8.1
338-65-2210;C;Naypyitaw;Member;Female;Health and beauty;68.6;10;34.3;720.3;2/5/2019;19:57;Cash;686.0;4.7619047619999995;34.3;9.1
488-25-4221;C;Naypyitaw;Member;Female;Food and beverages;30.41;1;1.5205;31.9305;2/22/2019;10:36;Credit card;30.41;4.7619047619999995;1.5205;8.4
239-10-7476;A;Yangon;Normal;Female;Home and lifestyle;77.95;6;23.385;491.085;1/21/2019;16:37;Ewallet;467.7;4.7619047619999995;23.385;8.0
458-41-1477;C;Naypyitaw;Normal;Female;Health and beauty;46.26;6;13.878;291.438;3/8/2019;17:11;Credit card;277.56;4.7619047619999995;13.878;9.5
685-64-1609;A;Yangon;Member;Female;Fashion accessories;30.14;10;15.07;316.47;2/10/2019;12:28;Ewallet;301.4;4.7619047619999995;15.07;9.2
568-90-5112;C;Naypyitaw;Normal;Male;Health and beauty;66.14;4;13.228;277.788;3/19/2019;12:46;Credit card;264.56;4.7619047619999995;13.228;5.6
262-47-2794;B;Mandalay;Member;Male;Home and lifestyle;71.86;8;28.744;603.624;3/6/2019;15:07;Credit card;574.88;4.7619047619999995;28.744;6.2
238-49-0436;A;Yangon;Normal;Male;Health and beauty;32.46;8;12.984000000000002;272.664;3/27/2019;13:48;Credit card;259.68;4.7619047619999995;12.984000000000002;4.9
608-96-3517;B;Mandalay;Member;Female;Fashion accessories;91.54;4;18.308;384.468;3/23/2019;19:20;Credit card;366.16;4.7619047619999995;18.308;4.8
584-86-7256;C;Naypyitaw;Member;Male;Sports and travel;34.56;7;12.095999999999998;254.016;3/11/2019;16:07;Credit card;241.92;4.7619047619999995;12.095999999999998;7.3
746-94-0204;A;Yangon;Normal;Male;Fashion accessories;83.24;9;37.458;786.618;1/29/2019;11:56;Credit card;749.16;4.7619047619999995;37.458;7.4
214-17-6927;C;Naypyitaw;Normal;Female;Food and beverages;16.48;6;4.944;103.824;2/7/2019;18:23;Ewallet;98.88;4.7619047619999995;4.944;9.9
400-89-4171;C;Naypyitaw;Normal;Female;Sports and travel;80.97;8;32.388000000000005;680.148;1/28/2019;13:05;Cash;647.76;4.7619047619999995;32.388000000000005;9.3
782-95-9291;A;Yangon;Member;Male;Food and beverages;92.29;5;23.0725;484.5225;2/20/2019;15:55;Credit card;461.45;4.7619047619999995;23.0725;9.0
279-74-2924;B;Mandalay;Member;Male;Electronic accessories;72.17;1;3.6085;75.7785;1/4/2019;19:40;Cash;72.17;4.7619047619999995;3.6085;6.1
307-85-2293;B;Mandalay;Normal;Male;Home and lifestyle;50.28;5;12.57;263.97;3/7/2019;13:58;Ewallet;251.4;4.7619047619999995;12.57;9.7
743-04-1105;B;Mandalay;Member;Male;Health and beauty;97.22;9;43.748999999999995;918.7289999999999;3/30/2019;14:43;Ewallet;874.98;4.7619047619999995;43.748999999999995;6.0
423-57-2993;B;Mandalay;Normal;Male;Sports and travel;93.39;6;28.017;588.357;3/27/2019;19:18;Ewallet;560.34;4.7619047619999995;28.017;10.0
894-41-5205;C;Naypyitaw;Normal;Female;Food and beverages;43.18;8;17.272000000000002;362.712;1/19/2019;19:39;Credit card;345.44;4.7619047619999995;17.272000000000002;8.3
275-28-0149;A;Yangon;Normal;Male;Sports and travel;63.69;1;3.1845;66.8745;2/25/2019;16:21;Cash;63.69;4.7619047619999995;3.1845;6.0
101-17-6199;A;Yangon;Normal;Male;Food and beverages;45.79;7;16.0265;336.5565;3/13/2019;19:44;Credit card;320.53;4.7619047619999995;16.0265;7.0
423-80-0988;C;Naypyitaw;Normal;Male;Sports and travel;76.4;2;7.64;160.44;1/30/2019;19:42;Ewallet;152.8;4.7619047619999995;7.64;6.5
548-46-9322;B;Mandalay;Normal;Male;Food and beverages;39.9;10;19.95;418.95;2/20/2019;15:24;Credit card;399.0;4.7619047619999995;19.95;5.9
505-02-0892;B;Mandalay;Member;Male;Health and beauty;42.57;8;17.028;357.588;2/25/2019;14:12;Ewallet;340.56;4.7619047619999995;17.028;5.6
